index,A,B,C,beta,omega,phi,tc_delta,mse_resid,oscillations,damping_factor,min_rel_err,max_rel_err
0,6.657443882901825,-0.8535010423576566,-0.0036524085325799482,0.1,6.0,2.8000000000000003,2.0,0.000225738249076101,3.2155306571704427,3.894695033630178,-0.03997078988883784,0.02725272178618082
0,6.70564357068859,-0.9091411754306185,-0.005372118906253373,0.1,6.0,2.8000000000000003,3.0,0.00021528000410814106,2.8446639813411436,2.8205542707190756,-0.03936818367822124,0.024689911793890754
0,6.74988278383176,-0.9597899102691967,-0.0059610389814152565,0.1,6.0,2.8000000000000003,4.0,0.00021196706321372118,2.585997453878508,2.683508454542728,-0.03785953440531273,0.02427388982740424
0,6.595311003197059,-0.7801440725189113,-0.0022028386226962404,0.1,6.0,2.9000000000000004,1.0,0.00024697810031220745,3.8608295666989387,5.902566386244755,-0.040908704144706945,0.030836666224941266
0,6.655818752932656,-0.8513019864536648,-0.004499100524201015,0.1,6.0,2.9000000000000004,2.0,0.000223405054705603,3.2155306571704427,3.153600672973204,-0.04042132699074632,0.02684581743786227
0,6.703318925745595,-0.9060671358054089,-0.006048087421034104,0.1,6.0,2.9000000000000004,3.0,0.00021276684640973202,2.8446639813411436,2.496842039281925,-0.03950107357170342,0.02457969428553857
0,6.747983564758158,-0.957267687255511,-0.006418839723011716,0.1,6.0,2.9000000000000004,4.0,0.00021016805389198435,2.585997453878508,2.4855678195330753,-0.03766981316989524,0.024382853564866306
0,6.59410485117664,-0.7784866034890312,-0.003083662320450084,0.1,6.0,3.0,1.0,0.00024542424506485654,3.8608295666989387,4.207586751237866,-0.04147729638761495,0.030325713186566954
0,6.654065808438409,-0.8489221798097351,-0.005314088496044714,0.1,6.0,3.0,2.0,0.00022072148426792375,3.2155306571704427,2.6624891563924513,-0.04076738538002171,0.026563876521652912
0,6.700934887201415,-0.902909368454826,-0.006695394418255382,0.1,6.0,3.0,3.0,0.00021016385101829774,2.8446639813411436,2.247588197823943,-0.039517048256878164,0.024593342320243187
0,6.746214956752093,-0.9549082224853311,-0.006841609959032796,0.1,6.0,3.0,4.0,0.0002084710479057181,2.585997453878508,2.326226887636272,-0.03737849576574169,0.024597043736448648
0,6.5926734601815085,-0.7765222717752462,-0.003943597452960204,0.1,6.0,3.1,1.0,0.00024341895932920916,3.8608295666989387,3.2817847199911387,-0.04198276085623452,0.02992976815324882
0,6.652237402111629,-0.8464326832443763,-0.006097222308163147,0.1,6.0,3.1,2.0,0.00021776739583346773,3.2155306571704427,2.313711174434153,-0.040998505870312785,0.02641548494479971
0,6.6985628450748,-0.8997622778308001,-0.0073110143377001086,0.1,6.0,3.1,3.0,0.00020754819949978374,2.8446639813411436,2.05115696279213,-0.03941204324931356,0.024734234556297016
0,6.7446374585735285,-0.9527918229714469,-0.007225295899294215,0.1,6.0,3.1,4.0,0.00020693327625052302,2.585997453878508,2.1978150012848565,-0.03699113898956421,0.02491344602776622
0,6.591058323019048,-0.7743080273708451,-0.004782823333107429,0.1,6.0,3.2,1.0,0.00024101985986080726,3.8608295666989387,2.698225063046505,-0.04241001938699232,0.029660837891120662
0,6.650388228783823,-0.8439078853739939,-0.006847248090888384,0.1,6.0,3.2,2.0,0.00021462940240390258,3.2155306571704427,2.054129080209075,-0.04110639051767471,0.026406672574987026
0,6.696279593943197,-0.8967275388161386,-0.007889820694787858,0.1,6.0,3.2,3.0,0.0002050035269121011,2.8446639813411436,1.8942710561397407,-0.03918450603920326,0.02500303473335144
0,6.743311919253706,-0.9509995370547957,-0.007564038375668797,0.1,6.0,3.2,4.0,0.00020561286232360348,2.585997453878508,2.0954404905230497,-0.03651627538356955,0.02532614154584666
0,6.58930539090578,-0.7719068945097618,-0.005600528811094498,0.1,6.0,3.3000000000000003,1.0,0.0002382934892848362,3.8608295666989387,2.2971250291598504,-0.04274523567413865,0.02952870267700425
0,6.648575465784832,-0.8414257048394762,-0.007561394940387739,0.1,6.0,3.3000000000000003,2.0,0.00021140133661260658,3.2155306571704427,1.8546527271600872,-0.041085071078628355,0.026540710942213202
0,6.69416707434365,-0.8939137835210857,-0.008424336553160938,0.1,6.0,3.3000000000000003,3.0,0.00020261978432047526,2.8446639813411436,1.7685147031661026,-0.03883607779430784,0.02539697541347663
